key	file_path	type	description	min_size	max_size	first_julian_day	last_julian_day	texture	ja-JP
YaxEhbXook	Data/PersonName/Maya/1st century/Yax Ehb Xook.tsv	view_person	???	0	1000	0	9948341	Pakal	???
AnimalHeaddress	Data/PersonName/Maya/3rd century/Animal Headdress.tsv	view_person	???	0	1000	0	9948341	Pakal	???
FoliatedJaguar	Data/PersonName/Maya/3rd century/Foliated Jaguar.tsv	view_person	???	0	1000	0	9948341	Pakal	???
AtlatlCauac	Data/PersonName/Maya/4th century/Atlatl Cauac.tsv	view_person	???	0	1000	0	9948341	Pakal	???
ChakTokIchaakI	Data/PersonName/Maya/4th century/Chak Tok Ichaak I.tsv	view_person	???	0	1000	0	9948341	Pakal	???
KinichMuwaanJol	Data/PersonName/Maya/4th century/Kinich Muwaan Jol.tsv	view_person	???	0	1000	0	9948341	Pakal	???
SihyajChanKawiilI	Data/PersonName/Maya/4th century/Sihyaj Chan Kawiil I.tsv	view_person	???	0	1000	0	9948341	Pakal	???
SiyajKak	Data/PersonName/Maya/4th century/Siyaj Kak.tsv	view_person	???	0	1000	0	9948341	Pakal	???
TeKabChaak	Data/PersonName/Maya/4th century/Te Kab Chaak.tsv	view_person	???	0	1000	0	9948341	Pakal	???
UnenBahlam	Data/PersonName/Maya/4th century/Unen Bahlam.tsv	view_person	???	0	1000	0	9948341	Pakal	???
YaxNuunAhiinI	Data/PersonName/Maya/4th century/Yax Nuun Ahiin I.tsv	view_person	???	0	1000	0	9948341	Pakal	???
Casper	Data/PersonName/Maya/5th century/Casper.tsv	view_person	???	0	1000	0	9948341	Pakal	???
ChakTokIchaakII	Data/PersonName/Maya/5th century/Chak Tok Ichaak II.tsv	view_person	???	0	1000	0	9948341	Pakal	???
KahkUjolKinichI	Data/PersonName/Maya/5th century/Kahk Ujol Kinich I.tsv	view_person	???	0	1000	0	9948341	Pakal	???
KanAhkI	Data/PersonName/Maya/5th century/Kan Ahk I.tsv	view_person	???	0	1000	0	9948341	Pakal	???
KanAhkII	Data/PersonName/Maya/5th century/Kan Ahk II.tsv	view_person	???	0	1000	0	9948341	Pakal	???
KanChitam	Data/PersonName/Maya/5th century/Kan Chitam.tsv	view_person	???	0	1000	0	9948341	Pakal	???
KinichPopolHol	Data/PersonName/Maya/5th century/Kinich Popol Hol.tsv	view_person	???	0	1000	0	9948341	Pakal	???
KinichYaxKukMo	Data/PersonName/Maya/5th century/Kinich Yax Kuk Mo.tsv	view_person	???	0	1000	0	9948341	Pakal	???
KuIx	Data/PersonName/Maya/5th century/Ku Ix.tsv	view_person	???	0	1000	0	9948341	Pakal	???
