age	hunter_gatherer	agricultural
1	0.00000	0.00000
2	0.00000	0.00000
3	0.00000	0.00000
4	0.00000	0.00000
5	0.00000	0.00000
6	0.00000	0.00000
7	0.00000	0.00000
8	0.00000	0.00000
9	0.00000	0.00000
10	0.00000	0.00000
11	0.00000	0.00000
12	0.00000	0.00000
13	0.00000	0.00000
14	0.00000	0.00000
15	0.01088	0.01083
16	0.01088	0.01083
17	0.01088	0.01083
18	0.01088	0.01083
19	0.01088	0.01083
20	0.02485	0.02475
21	0.02485	0.02475
22	0.02485	0.02475
23	0.02485	0.02475
24	0.02485	0.02475
25	0.02610	0.02599
26	0.02610	0.02599
27	0.02610	0.02599
28	0.02610	0.02599
29	0.02610	0.02599
30	0.02049	0.02041
31	0.02049	0.02041
32	0.02049	0.02041
33	0.02049	0.02041
34	0.02049	0.02041
35	0.01467	0.01461
36	0.01467	0.01461
37	0.01467	0.01461
38	0.01467	0.01461
39	0.01467	0.01461
40	0.00603	0.00600
41	0.00603	0.00600
42	0.00603	0.00600
43	0.00603	0.00600
44	0.00603	0.00600
45	0.00152	0.00151
46	0.00152	0.00151
47	0.00152	0.00151
48	0.00152	0.00151
49	0.00152	0.00151
50	0.00152	0.00151
51	0.00000	0.00000
52	0.00000	0.00000
53	0.00000	0.00000
54	0.00000	0.00000
55	0.00000	0.00000
56	0.00000	0.00000
57	0.00000	0.00000
58	0.00000	0.00000
59	0.00000	0.00000
60	0.00000	0.00000
61	0.00000	0.00000
62	0.00000	0.00000
63	0.00000	0.00000
64	0.00000	0.00000
65	0.00000	0.00000
66	0.00000	0.00000
67	0.00000	0.00000
68	0.00000	0.00000
69	0.00000	0.00000
70	0.00000	0.00000
71	0.00000	0.00000
72	0.00000	0.00000
73	0.00000	0.00000
74	0.00000	0.00000
75	0.00000	0.00000
76	0.00000	0.00000
77	0.00000	0.00000
78	0.00000	0.00000
79	0.00000	0.00000
80	0.00000	0.00000
81	0.00000	0.00000
82	0.00000	0.00000
83	0.00000	0.00000
84	0.00000	0.00000
85	0.00000	0.00000
86	0.00000	0.00000
87	0.00000	0.00000
88	0.00000	0.00000
89	0.00000	0.00000
90	0.00000	0.00000
91	0.00000	0.00000
92	0.00000	0.00000
93	0.00000	0.00000
94	0.00000	0.00000
95	0.00000	0.00000
96	0.00000	0.00000
97	0.00000	0.00000
98	0.00000	0.00000
99	0.00000	0.00000
100	0.00000	0.00000
