id	name	ja-JP	region	min_pop_placed_per_cell	max_pop_placed_per_cell	init_pop	immigrant	increased_immigration	mtdna_region	pop_ad725	directions	direction_min_distance	language	hunter_gatherer	farming	snp
1	satsuma	薩摩	2	4	20	220	0	0	kyushu_jomon	38400	1/1/2/4/4/2/4/1	160	1	255	0	0
2	osumi	大隅	2	4	20	220	0	0	kyushu_jomon	40600	1/2/2/2/4/2/2/2	160	1	255	0	0
3	hyuga	日向	2	4	20	220	0	0	kyushu_jomon	30800	10/4/1/1/1/1/1/1	160	1	255	0	0
4	higo	肥後	2	4	20	2400	0	0	kyushu_jomon	108700	10/4/1/1/1/1/1/4	160	1	255	0	0
5	bungo	豊後	3	4	20	340	0	0	kyushu_jomon	51600	10/4/1/1/1/1/1/2	160	0	255	0	0
6	chikugo	筑後	3	4	20	480	0	0	kyushu_jomon	59300	10/10/1/2/2/1/1/2	160	0	255	0	0
7	hizen	肥前	3	4	20	1210	0	0	kyushu_jomon	48300	4/4/4/4/1/1/1/1	160	0	255	0	0
8	chikuzen	筑前	3	4	20	480	5	0	kyushu_jomon	112000	4/4/1/1/1/1/4/10	160	0	255	0	0
9	buzen	豊前	3	4	20	420	0	0	kyushu_jomon	47200	10/2/1/1/1/1/1/2	160	0	255	0	0
10	iki	壱岐	3	4	20	80	0	0	kyushu_jomon	12100	4/4/1/1/2/1/1/1	160	0	255	0	0
11	tsushima	対馬	3	4	20	80	0	0	kyushu_jomon	9900	1/1/1/4/4/1/1/1	160	0	255	0	0
12	nagato	長門	5	4	20	50	0	0	chugoku_jomon	43900	2/2/1/1/1/2/10/10	160	0	255	0	0
13	suo	周防	5	4	20	50	0	0	chugoku_jomon	49400	1/1/2/1/1/2/10/10	160	0	255	0	0
14	aki	安芸	5	4	20	190	0	0	chugoku_jomon	69200	1/1/1/2/1/4/10/10	160	0	255	0	0
15	bingo	備後	5	4	20	190	0	0	chugoku_jomon	71400	1/1/1/1/1/2/10/4	160	0	255	0	0
16	bitchu	備中	5	4	20	200	0	0	chugoku_jomon	79100	1/1/1/1/1/2/10/4	160	0	255	0	0
17	mimasaka	美作	5	4	20	200	0	0	chugoku_jomon	70300	2/2/1/2/2/2/1/2	160	0	255	0	0
18	bizen	備前	5	4	20	180	0	0	chugoku_jomon	56000	2/1/1/1/4/4/10/4	160	0	255	0	0
19	harima	播磨	7	4	20	70	0	0	kinki_jomon	107600	1/1/2/2/2/10/10/4	160	0	255	0	0
20	iwami	石見	6	4	20	410	0	0	chugoku_jomon	40600	2/2/1/2/1/1/10/10	160	0	255	0	0
21	izumo	出雲	6	4	20	410	0	0	chugoku_jomon	85700	4/2/2/2/1/1/10/10	160	0	255	0	0
22	hoki	伯耆	6	4	20	50	0	0	chugoku_jomon	52700	2/2/2/1/1/2/10/10	160	0	255	0	0
23	oki	隠岐	6	4	20	110	0	0	chugoku_jomon	13200	1/1/1/1/10/1/1/1	160	0	255	0	0
24	inaba	因幡	6	4	20	50	0	0	chugoku_jomon	54900	2/2/4/2/1/1/10/10	160	0	255	0	0
25	tajima	但馬	6	4	20	70	0	0	chugoku_jomon	64800	2/2/2/1/1/4/10/10	160	0	255	0	0
26	tango	丹後	6	4	20	60	0	0	chugoku_jomon	38400	2/2/2/2/2/4/10/4	160	0	255	0	0
27	tanba	丹波	7	4	20	60	0	0	kinki_jomon	74700	2/2/2/2/2/10/4/4	160	0	255	0	0
28	iyo	伊予	4	4	20	370	0	0	shikoku_jomon	79100	4/2/1/1/1/1/4/10	160	0	255	0	0
29	tosa	土佐	4	4	20	50	0	0	shikoku_jomon	47200	4/4/1/1/1/1/2/4	160	0	255	0	0
30	awa	阿波	4	4	20	50	0	0	shikoku_jomon	50500	2/2/1/1/1/1/4/4	160	0	255	0	0
31	sanuki	讃岐	4	4	20	50	0	0	shikoku_jomon	98800	10/10/2/4/4/4/2/10	160	0	255	0	0
32	awaji	淡路	7	4	20	70	0	0	kinki_jomon	18700	4/2/2/2/1/2/10/10	160	0	255	0	0
33	kii	紀伊	7	4	20	440	0	0	kinki_jomon	61500	2/2/2/10/4/4/2/2	160	0	255	0	0
34	yamato	大和	8	4	20	610	0	0	kinki_jomon	171700	2/2/1/1/1/1/1/2	160	0	255	0	0
35	kawachi	河内	8	4	20	60	0	0	kinki_jomon	87900	1/1/1/1/1/1/2/1	160	0	255	0	0
36	yamashiro	山城	8	4	20	60	0	0	kinki_jomon	85700	1/1/1/1/2/2/2/1	160	0	255	0	0
37	izumi	和泉	8	4	20	60	0	0	kinki_jomon	26400	2/1/1/1/1/1/2/2	160	0	255	0	0
38	settsu	摂津	8	4	20	60	0	0	kinki_jomon	85700	1/2/1/1/2/4/10/4	160	0	255	0	0
39	wakasa	若狭	11	4	20	40	0	0	chubu_jomon	23100	2/1/2/1/1/2/4/10	160	0	255	0	0
40	echizen	越前	11	4	20	40	0	0	chubu_jomon	60400	10/2/1/2/1/1/2/10	160	0	255	0	0
41	kaga	加賀	11	4	20	270	0	0	chubu_jomon	32900	10/2/1/1/1/1/2/10	160	0	255	0	0
42	etchu	越中	11	4	20	860	0	0	chubu_jomon	46100	2/4/2/2/2/1/4/10	160	0	255	0	0
43	noto	能登	11	4	20	270	0	0	chubu_jomon	28600	1/1/1/1/4/4/10/4	160	0	255	0	0
44	echigo	越後	11	4	20	3290	0	0	chubu_jomon	37300	4/2/2/4/4/4/1/4	160	0	255	0	0
45	sado	佐渡	11	4	20	470	0	0	chubu_jomon	24200	1/1/1/4/4/4/4/4	160	0	255	0	0
46	shima	志摩	7	4	20	150	0	0	kinki_jomon	154000	4/2/2/2/1/1/1/4	160	0	255	0	0
47	ise	伊勢	7	4	20	150	0	0	kinki_jomon	103200	2/2/2/2/1/1/4/10	160	0	255	0	0
48	iga	伊賀	7	4	20	150	0	0	kinki_jomon	19800	1/1/1/1/1/1/1/4	160	0	255	0	0
49	owari	尾張	9	4	20	2510	0	0	chubu_jomon	75800	2/2/1/2/1/4/10/2	160	0	255	0	0
50	mikawa	参河	9	4	20	2510	0	0	chubu_jomon	75800	2/2/2/1/1/4/10/4	160	0	255	0	0
51	totomi	遠江	9	4	20	570	0	0	chubu_jomon	105400	1/4/2/1/1/2/4/10	160	0	255	0	0
52	suruga	駿河	9	4	20	570	0	0	chubu_jomon	64800	4/1/1/4/2/4/4/10	160	0	255	0	0
53	izu	伊豆	9	4	20	560	0	0	chubu_jomon	23100	4/2/2/1/1/1/1/10	160	0	255	0	0
54	kai	甲斐	10	4	20	440	0	0	chubu_jomon	34000	2/4/2/2/2/2/2/2	160	0	255	0	0
55	sagami	相模	12	4	20	280	0	0	kanto_jomon	73600	4/4/2/2/1/2/4/10	160	0	255	0	0
56	musashi	武蔵	12	4	20	2650	0	0	kanto_jomon	130700	4/10/2/2/2/4/4/4	160	0	255	0	0
57	shimosa	下総	12	4	20	690	0	0	kanto_jomon	99900	4/4/4/2/2/1/1/2	160	0	255	0	0
58	kazusa	上総	12	4	20	270	0	0	kanto_jomon	83500	2/4/4/2/2/1/1/1	160	0	255	0	0
59	awa1	安房	12	4	20	270	0	0	kanto_jomon	35100	4/10/2/1/1/1/1/2	160	0	255	0	0
60	hitachi	常陸	13	4	20	1220	0	0	kanto_jomon	168000	4/10/2/2/2/2/2/2	160	0	255	0	0
61	omi	近江	7	4	20	150	0	0	kinki_jomon	102100	2/2/2/2/4/4/10/2	160	0	255	0	0
62	mino	美濃	9	4	20	1360	0	0	chubu_jomon	143900	4/10/2/2/4/10/2/2	160	0	255	0	0
63	hida	飛騨	10	4	20	1360	0	0	chubu_jomon	14300	4/4/2/2/2/2/2/4	160	0	255	0	0
64	shinano	信濃	10	4	20	2910	0	0	chubu_jomon	73600	1/1/1/1/1/1/1/1	160	0	255	0	0
65	kozuke	上野	13	4	20	710	0	0	kanto_jomon	112000	4/4/1/1/2/2/2/4	160	0	255	0	0
66	shimotsuke	下野	13	4	20	1760	0	0	kanto_jomon	76900	4/4/2/2/2/4/2/4	160	0	255	0	0
67	mutsu	陸奥	15	4	20	20812	0	0	tohoku_jomon	206500	2/2/4/4/10/2/2/4	160	2	255	0	0
68	dewa	出羽	14	4	20	12190	0	0	tohoku_jomon	78000	2/2/2/2/10/4/4/2	160	2	255	0	0
69	ezo_honshu	蝦夷(本州)	15	4	20	6938	0	0	tohoku_jomon	0	1/1/1/1/10/1/1/1	160	2	255	0	0
70	ezo_hokkaido	蝦夷(北海道)	16	4	20	0	0	0	hokkaido_jomon	0	1/1/1/1/10/1/1/1	160	2	255	0	0
71	ezo_chishima	蝦夷(千島列島)	16	4	20	0	0	0	hokkaido_jomon	0	1/1/1/1/1/1/1/1	160	2	255	0	0
72	ezo_karafuto	蝦夷(樺太)	16	4	20	0	0	0	hokkaido_jomon	0	1/1/1/1/1/1/1/1	160	2	255	0	0
73	toraijin_land	渡来人	0	0	0	0	0	0	toraijin	0	1/1/1/1/1/1/1/1	160	3	0	255	255
74	null_a		0	4	20	0	0	0		0	1/1/1/1/1/1/1/1	160	0	255	0	0
75	null_b		0	4	20	0	0	0		0	1/1/1/1/1/1/1/1	160	0	255	0	0
76	null_c		0	4	20	0	0	0		0	1/1/1/1/1/1/1/1	160	0	255	0	0
77	null_d		0	4	20	0	0	0		0	1/1/1/1/1/1/1/1	160	0	255	0	0
78	null_e		0	4	20	0	0	0		0	1/1/1/1/1/1/1/1	160	0	255	0	0
79	null_f		0	4	20	0	0	0		0	1/1/1/1/1/1/1/1	160	0	255	0	0
80	null_g		0	4	20	0	0	0		0	1/1/1/1/1/1/1/1	160	0	255	0	0
81	null_h		0	4	20	0	0	0		0	1/1/1/1/1/1/1/1	160	0	255	0	0
82	null_i		0	4	20	0	0	0		0	1/1/1/1/1/1/1/1	160	0	255	0	0
83	null_j		0	4	20	0	0	0		0	1/1/1/1/1/1/1/1	160	0	255	0	0
84	null_k		0	4	20	0	0	0		0	1/1/1/1/1/1/1/1	160	0	255	0	0
85	null_l		0	4	20	0	0	0		0	1/1/1/1/1/1/1/1	160	0	255	0	0
86	null_m		0	4	20	0	0	0		0	1/1/1/1/1/1/1/1	160	0	255	0	0
87	null_n		0	4	20	0	0	0		0	1/1/1/1/1/1/1/1	160	0	255	0	0
88	ogasawara	小笠原諸島	1	4	20	0	0	0	southern_islands_jomon	0	1/1/1/1/1/1/1/1	160	0	255	0	0
89	izu1	伊豆諸島	1	4	20	0	0	0	southern_islands_jomon	0	1/1/1/1/1/1/1/1	160	0	255	0	0
90	ryukyu	琉球諸島	1	4	20	0	0	0	southern_islands_jomon	0	1/1/1/1/1/1/1/1	160	1	255	0	0
