id	name	region	min_pop_placed_per_cell	max_pop_placed_per_cell	init_pop	immigrant
1	satsuma	2	4	20	2270	0
2	osumi	2	4	20	2400	0
3	hyuga	2	4	20	1820	0
4	higo	2	4	20	6426	0
5	bungo	3	4	20	1226	0
6	chikugo	3	4	20	1410	0
7	hizen	3	4	20	1148	0
8	chikuzen	3	4	20	2664	1
9	buzen	3	4	20	1122	0
10	iki	3	4	20	288	0
11	tsushima	3	4	20	234	0
12	nagato	5	4	20	976	0
13	suo	5	4	20	1098	0
14	aki	5	4	20	1540	0
15	bingo	5	4	20	1588	0
16	bitchu	5	4	20	1760	0
17	mimasaka	5	4	20	1564	0
18	bizen	5	4	20	1246	0
19	harima	7	4	20	2358	0
20	iwami	6	4	20	410	0
21	izumo	6	4	20	866	0
22	hoki	6	4	20	532	0
23	oki	6	4	20	132	0
24	inaba	6	4	20	554	0
25	tajima	6	4	20	654	0
26	tango	6	4	20	388	0
27	tanba	7	4	20	1636	0
28	iyo	4	4	20	1726	0
29	tosa	4	4	20	1030	0
30	awa	4	4	20	1102	0
31	sanuki	4	4	20	2158	0
32	awaji	7	4	20	408	0
33	kii	7	4	20	1346	0
34	yamato	8	4	20	2266	0
35	kawachi	8	4	20	1160	0
36	yamashiro	8	4	20	1130	0
37	izumi	8	4	20	348	0
38	settsu	8	4	20	1130	0
39	wakasa	11	4	20	378	0
40	echizen	11	4	20	990	0
41	kaga	11	4	20	538	0
42	etchu	11	4	20	754	0
43	noto	11	4	20	468	0
44	echigo	11	4	20	610	0
45	sado	11	4	20	396	0
46	shima	7	4	20	3374	0
47	ise	7	4	20	2260	0
48	iga	7	4	20	432	0
49	owari	9	4	20	1686	0
50	mikawa	9	4	20	1686	0
51	totomi	9	4	20	2346	0
52	suruga	9	4	20	1442	0
53	izu	9	4	20	514	0
54	kai	10	4	20	4746	0
55	sagami	12	4	20	2078	0
56	musashi	12	4	20	3690	0
57	shimosa	12	4	20	2820	0
58	kazusa	12	4	20	2358	0
59	awa1	12	4	20	990	0
60	hitachi	13	4	20	3698	0
61	omi	7	4	20	2236	0
62	mino	9	4	20	3202	0
63	hida	10	4	20	1996	0
64	shinano	10	4	20	10276	0
65	kozuke	13	4	20	2466	0
66	shimotsuke	13	4	20	1692	0
67	mutsu	15	4	20	5740	0
68	dewa	14	4	20	940	0
69	ezo_honshu	15	4	20	2000	0
70	ezo_hokkaido	16	4	20	0	0
71	ezo_chishima	16	4	20	0	0
72	ezo_karafuto	16	4	20	0	0
73	null1	0	4	20	0	0
74	null2	0	4	20	0	0
75	null3	0	4	20	0	0
76	null4	0	4	20	0	0
77	null5	0	4	20	0	0
78	null6	0	4	20	0	0
79	null7	0	4	20	0	0
80	null8	0	4	20	0	0
81	null9	0	4	20	0	0
82	null10	0	4	20	0	0
83	null11	0	4	20	0	0
84	null12	0	4	20	0	0
85	null13	0	4	20	0	0
86	null14	0	4	20	0	0
87	null15	0	4	20	0	0
88	ogasawara	1	4	20	0	0
89	izu1	1	4	20	0	0
90	ryukyu	1	4	20	0	0
