en-US	start_longitude	start_latitude	end_longitude	end_latitude	first_julian_day	last_julian_day
Erwig	-4.024444	39.856667	-4.024444	39.856667	1955180	1970101
Erwig	-4.024444	39.856667	-3.707206	42.350388	1970101	1970108
Erwig	-3.707206	42.350388	-3.707206	42.350388	1970108	1970118
Erwig	-3.707206	42.350388	-4.024444	39.856667	1970118	1970125
Erwig	-4.024444	39.856667	-4.024444	39.856667	1970125	1970194
Erwig	-4.024444	39.856667	-4.028539	39.859633	1970194	1970195
Erwig	-4.028539	39.859633	-4.028539	39.859633	1970195	1970212
Erwig	-4.028539	39.859633	-4.023889	39.857083	1970212	1970213
Erwig	-4.023889	39.857083	-4.023889	39.857083	1970213	1971223
Erwig	-4.023889	39.857083	-4.024444	39.856667	1971223	1971224
Erwig	-4.024444	39.856667	-4.024444	39.856667	1971224	1972694
Erwig	-4.024444	39.856667	-4.024444	39.856667	1972694	1972695
Erwig	-4.024444	39.856667	-4.024444	39.856667	1972695	1972695
Erwig	-4.024444	39.856667	-4.024444	39.856667	1972695	1972696
Erwig	-4.024444	39.856667	-4.024444	39.856667	1972696	1972726
