key	ja-JP	en-US	longitude	latitude	min_size	max_size
Balhae1	渤海國	Balhae	129.1417	44.1306	50	300
Balhae2	渤海國	Balhae	131.5	41.5	20	50
Balhae3	上京龍泉府	Longquan	129.1417	44.1306	1	50
Balhae4	東京龍原府	Longyuan	130.366667	42.86667	1	50
Balhae5	中京顕徳府	Xiande	128.2333	43.3667	1	22
Balhae6	南京南海府	Nanhai	128.3140229	40.24318	1	50
Balhae7	西京鴨淥府	Yalu	126.91365	41.80821	1	50
Balhae8	長嶺府	Changling	126.746	42.972	1	32
Balhae9	扶餘府	Fuyu	125.55	43.836	1	50
Balhae10	鄚頡府	Moe	126.6245213	45.7492867	1	50
Balhae11	定理府	Dingli	133.1171478	43.1145326	1	50
Balhae12	安邊府	Anbian	135.2780628	43.7514417	1	50
Balhae13	率賓府	Shuaibin	131.97	43.81	1	32
Balhae14	東平府	Dongping	131.8669188	45.5438109	1	50
Balhae15	鐵利府	Tieli	129.55626	46.315	1	50
Balhae16	安遠府	Anyuan	134.2878672	46.4444747	1	50
Balhae17	懷遠府	Huaiyuan	132.6111172	47.9303113	1	50
Balhae18	郢州	Ying	129.8999082	45.8103515	1	18
Balhae19	銅州	Tong	129.1485	43.42115	1	15
Balhae20	涑州	Su	126.55	43.836	1	20
