ko-KR	ja-JP	en-US	latitude	longitude	overall_length	x_size	texture	first_year	last_year
외도동지석묘군	外都洞支石墓群	Oedodong dolmen group	33.485	126.4422	50	23	Dolmen	-700	-200
광령리지석묘군	光令里支石墓群	Gwangryeongri dolmen group	33.4775	126.4452	50	17	Dolmen	-700	-200
완도읍리지석묘	莞島邑里支石墓	Wandoeupri dolmen	34.187775	126.8702855	50	16	Dolmen	-700	-200
용담동지석묘3~6호	龍潭洞支石墓3~6号	Yongdamdong dolmen No.3~6	33.5095	126.5142	50	4	Dolmen	-700	-200
동일리지석묘1~4호	東日里支石墓1~4号	Dongilli dolmen No.1~4	33.259	126.2454	50	4	Dolmen	-700	-200
도련동지석묘3호	道連洞支石墓3号	Doryeondong dolmen No.3	33.517	126.5988	50	3	Dolmen	-700	-200
증문동지석묘1~3호	증문동支石墓1~3号	Jeungmundong dolmen No.1~3	33.257	126.4266	50	3	Dolmen	-700	-200
대서리후점지석묘군	大西里후점支石墓群	Daeseorihujeom dolmen group	33.96510454	126.2862055	50	2	Dolmen	-700	-200
도련동지석묘1~2호	道連洞支石墓1~2号	Doryeondong dolmen No.1~2	33.523	126.591	50	2	Dolmen	-700	-200
용담동지석묘1~2호	龍潭洞支石墓1~2号	Yongdamdong dolmen No.1~2	33.519	126.5106	50	2	Dolmen	-700	-200
공항내이전지석묘1~2호	공항내이전支石墓1~2号	Gonghangnaeijeon dolmen No.1~2	33.512	126.5004	50	2	Dolmen	-700	-200
광혐2리지석묘군	광혐2리支石墓群	Gwanghyeom2Ri dolmen group	33.4395	126.4416	50	2	Dolmen	-700	-200
신례리지석묘2호	新禮里支石墓2号	Sinryeri dolmen No.2	33.275	126.6432	50	2	Dolmen	-700	-200
상예동지석묘군	上猊洞支石墓群	Sangyedong dolmen group	33.2585	126.3948	50	2	Dolmen	-700	-200
창고천지석묘1~2호	倉古川支石墓1~2号	Changgocheon dolmen No.1~2	33.257	126.3456	50	2	Dolmen	-700	-200
창천리지석묘1~2호	倉川里支石墓1~2号	Changcheonri dolmen No.1~2	33.2545	126.3714	50	2	Dolmen	-700	-200
창천리지석묘3~4호	倉川里支石墓3~4号	Changcheonri dolmen No.3~4	33.2505	126.3702	50	2	Dolmen	-700	-200
가파도지석묘군	加波島支石墓群	Gapado dolmen group	33.178	126.2748	50	2	Dolmen	-700	-200
			34.21339229	126.5919688	50	1	Dolmen	-700	-200
			34.17586933	126.5796295	50	1	Dolmen	-700	-200
삼양동지석묘1호	三陽洞支石墓1号	Samyangdong dolmen No.1	33.5235	126.588	50	1	Dolmen	-700	-200
오라동지석묘1호	吾羅洞支石墓1号	Oradong dolmen No.1	33.5005	126.5148	50	1	Dolmen	-700	-200
천진리지석묘	天津里支石墓	Cheonjinri dolmen	33.4965	126.9546	50	1	Dolmen	-700	-200
하귀리지석묘	下貴里支石墓	Hagwiri dolmen	33.496	126.4248	50	1	Dolmen	-700	-200
오라동지석묘2호	吾羅洞支石墓2号	Oradong dolmen No.2	33.489	126.5172	50	1	Dolmen	-700	-200
도남동지석묘	도남동支石墓	Donamdong dolmen	33.487	126.5208	50	1	Dolmen	-700	-200
하귀리지석묘1호	下貴里支石墓1号	Hagwiri dolmen No.1	33.486	126.4116	50	1	Dolmen	-700	-200
하귀리지석묘2호	下貴里支石墓2号	Hagwiri dolmen No.2	33.485	126.408	50	1	Dolmen	-700	-200
하귀리지석묘3호	下貴里支石墓3号	Hagwiri dolmen No.3	33.478	126.4032	50	1	Dolmen	-700	-200
고내리지석묘	高內里支石墓	Gonaeri dolmen	33.469	126.3468	50	1	Dolmen	-700	-200
곽지리지석묘	郭支里支石墓	Gwakjiri dolmen	33.457	126.3228	50	1	Dolmen	-700	-200
용포리지석묘	용포리支石墓	Yongpori dolmen	33.4085	126.2616	50	1	Dolmen	-700	-200
신산리지석묘	新山里支石墓	Sinsanri dolmen	33.3955	126.861	50	1	Dolmen	-700	-200
신쯩리지석묘	신쯩리支石墓	Sinjjeungri dolmen	33.371	126.8652	50	1	Dolmen	-700	-200
신천리마장내지석묘	新川里마장내支石墓	Sincheonrimajangnae dolmen	33.3615	126.8658	50	1	Dolmen	-700	-200
고산리지석묘	高山里支石墓	Gosanri dolmen	33.3155	126.1812	50	1	Dolmen	-700	-200
신례리지석묘1호	新禮里支石墓1号	Sinryeri dolmen No.1	33.283	126.6366	50	1	Dolmen	-700	-200
신도리지석묘	新桃里支石墓	Sindori dolmen	33.2825	126.1818	50	1	Dolmen	-700	-200
식달동지석묘	식달동支石墓	Sikdaldong dolmen	33.271	126.4248	50	1	Dolmen	-700	-200
보목동지석묘	甫木洞支石墓	Bomokdong dolmen	33.2495	126.6042	50	1	Dolmen	-700	-200
법홤동지석묘	법홤동支石墓	Beophwamdong dolmen	33.247	126.5178	50	1	Dolmen	-700	-200
하모리지석묘	下摹里支石墓	Hamori dolmen	33.2365	126.2526	50	1	Dolmen	-700	-200
