ja-JP	en-US	start_longitude	start_latitude	end_longitude	end_latitude	first_julian_day	last_julian_day
テオドシウス	Tiberius	28.98	41.008056	28.98	41.008056	1934609	1937034
テオドシウス	Tiberius	28.98	41.008056	28.98	41.008056	1937034	1937035
テオドシウス	Tiberius	28.98	41.008056	28.98	41.008056	1937035	1941361
テオドシウス	Tiberius	28.98	41.008056	28.98	41.008056	1941361	1941362
テオドシウス	Tiberius	28.98	41.008056	28.98	41.008056	1941362	1941636
テオドシウス	Tiberius	28.98	41.008056	28.98	41.008056	1941636	1941637
テオドシウス	Tiberius	28.98	41.008056	28.98	41.008056	1941637	1941658
テオドシウス	Tiberius	28.98	41.008056	29.025789	40.983393	1941658	1941659
テオドシウス	Tiberius	29.025789	40.983393	29.025789	40.983393	1941659	1941662
テオドシウス	Tiberius	29.025789	40.983393	28.98	41.008056	1941662	1941663
テオドシウス	Tiberius	28.98	41.008056	28.98	41.008056	1941663	1941693
