1	2	3	4	5	6	7	8	9	10	11	12	number_of_days_of_leap_month	leap_month	gengo1	gengo1_num	gengo2	gengo2_num	gengo3	gengo3_num	gengo4	gengo4_num	start_jdn	kaigen1_jdn	kaigen2_jdn	is_emperor_name1	is_emperor_name2
29	30	30	29	30	29	30	29	30	29	30	29			1	2							1801819				
30	29	30	29	30	29	30	29	30	29	30	29	30	6	1	3							1802173				
30	29	30	29	30	29	30	29	30	30	29	30			1	4							1802557				
29	30	29	30	29	30	29	30	29	30	29	30			1	5							1802912				
29	30	30	30	29	30	29	30	29	30	29	30	29	3	1	6							1803266				
29	30	29	30	29	30	30	29	30	29	30	29			1	7							1803650				
30	29	30	29	30	29	30	29	30	30	29	30	29	12	2	1							1804004				
30	29	30	29	30	29	30	29	30	29	30	29			2	2							1804388				
30	30	29	30	29	30	29	30	29	30	29	30			2	3							1804742				
29	30	29	30	30	29	30	29	30	30	29	30	29	9	2	4							1805097				
29	30	29	30	29	30	29	30	30	29	30	29			2	5							1805481				
30	29	30	29	30	29	30	29	30	29	30	29			2	6							1805835				
30	30	29	30	29	29	30	29	30	29	30	29	30	5	2	7	2	1					1806189	1806189			
30	29	30	30	29	30	29	30	29	30	29	30			3	2							1806573				
29	30	29	30	29	30	29	30	30	29	30	29			3	3							1806928				
30	30	29	30	29	30	29	30	29	30	30	29	29	1	3	4							1807282				
30	29	0	30	29	29	30	29	30	29	30	29			3	5							1807666				
29	30	29	30	29	29	30	29	30	29	30	29			3	5	3	1					1807637	1807637			
30	29	30	29	30	29	30	30	29	30	29	29	30	11	4	2							1807990				
30	29	30	29	30	29	30	29	30	29	30	59			4	3							1808374				
30	29	30	29	30	29	30	29	30	29	30	29			5	1							1808758				
30	29	30	30	29	30	30	29	30	29	30	29	29	6	5	2							1809112				
30	29	30	29	30	30	29	30	29	30	29	30			5	3							1809496				
29	30	29	30	29	30	29	30	29	30	30	29			5	4							1809851				
30	29	30	30	29	30	29	30	29	30	29	30	29	3	5	5							1810205				
29	30	30	29	30	29	30	29	30	29	30	29			5	6							1810589				
30	29	30	29	30	30	29	30	29	30	29	30	29	12	5	7							1810943				
30	29	30	29	30	29	30	29	30	30	29	30			5	8							1811327				
29	30	29	30	29	30	29	30	29	30	29	30			5	9							1811682				
29	30	30	29	30	29	30	29	30	30	29	30	29	9	5	10	5	1					1812036	1812036			
29	30	29	30	29	30	30	29	30	29	30	29			6	2							1812420				
30	29	30	29	30	29	30	29	30	30	29	30			6	3							1812774				
29	30	29	30	29	29	30	29	30	29	30	29	30	5	6	4							1813129				
30	30	29	30	29	30	29	30	29	30	29	30			6	5							1813512				
29	30	29	30	29	30	30	29	30	29	30	29			6	6	6	1					1813867	1813867			
